Fecha,T_Media_General,T_Media_Cerro_Prieto,T_Media_El_Cuchillo,T_Media_La_Boca,T.Max_General,T_Max_Cerro_Prieto,T_Max_El_Cuchillo,T_Max_La_Boca,T.Min_General,T_Min_Cerro_Prieto,T_Min_El_Cuchillo,T_Min_La_Boca,V_Media_Viento,Rachas_Max,Presion_Media,Precip_General,Precip_Cerro_Prieto,Precip_El_Cuchillo,Precip_La_Boca,Evap_Cerro_Prieto,Evap_El_Cuchillo,Ciclon_Is,Ciclon_VS,Ciclon_R,Niveles_P,Niveles_NP,Consumo_Clientes_industriales_AMM,Consumo_Clientes_industriales_MNM,Consumo_clientes_industriales_fact,Poblacion,PIB
01/01/2012,18,2082258,2087097,1982258,34,2704839,2667742,2764516,3,1459677,1506452,12,43566,46.5,1018.5,43712,412903,375187,43497,4406452,4280645,0,0,0,NaN,NaN,NaN,NaN,NaN,4749977.58,15836824
01/02/2012,17,2123276,43606,2084483,36,2698276,2705172,2803448,4,1548276,1594828,1365517,43627,79.5,1016.8,71,827586,1414855,551724,4437931,4637931,0,0,0,NaN,NaN,NaN,NaN,NaN,4753833.14,15836824
01/03/2012,23,2443548,2522581,2383871,39,3058065,3143548,3133871,6,1829032,1901613,1633871,43568,NaN,1012.4,24,410599,348718,422581,6374194,6990323,0,0,0,NaN,NaN,NaN,NaN,NaN,4757688.7,15836824
01/04/2012,27,2531667,26325,2555833,39,3171667,32.95,3381667,13,1891667,43665,43541,43569,48.2,1010,43578,1496667,403675,1143333,6943333,43473,0,0,0,NaN,NaN,NaN,NaN,NaN,4761544.25,15978040
01/05/2012,28,2641129,2733065,2654839,45,3277419,338871,3424194,19,2004839,2077419,1885484,43659,NaN,1009.2,48.5,333641,796774,1390323,7712903,8832258,1,92.5,117.5,NaN,NaN,NaN,NaN,NaN,4765399.81,15978040
01/06/2012,30,2718333,43674,2728333,42,3346667,35.1,35.1,19,43728,43546,1946667,43659,NaN,1008.1,59.4,2203333,3593333,1993333,7466667,9.28,1,107.5,130,NaN,NaN,NaN,NaN,NaN,4769255.36,15978040
01/07/2012,29,2771774,2883871,2729032,40,3380645,3503226,3495161,20,2162903,2264516,1962903,43630,NaN,1011.4,43521,2590323,3587097,1341935,8041935,43625,0,0,0,NaN,NaN,NaN,NaN,NaN,4773110.92,16078211
01/08/2012,30,2683065,43613,2732258,40,3272581,3453226,3441935,19,2093548,2246774,2022581,43659,NaN,1009.8,83.3,6056222,2219355,5529032,6596774,8709677,1,128,156.5,NaN,NaN,NaN,NaN,NaN,4776966.48,16078211
01/09/2012,28,25,25825,2419167,39,30.25,3113333,2983333,18,19.75,2051667,18.55,43688,NaN,1012.5,105.4,3490476,1793675,6.83,5536699,6603333,1,150,182.5,NaN,NaN,NaN,NaN,NaN,4780822.03,16078211
01/10/2012,25,2393548,2506452,2295968,39,2987097,3067742,2908065,10,18,1945161,1683871,43718,NaN,1012.8,41.6,209677,129694,2235484,5570968,6287097,1,115,140,NaN,NaN,NaN,NaN,NaN,4784677.59,16213437
01/11/2012,20,1985833,2050833,19325,34,43701,2498333,43609,11,1491667,1603333,43630,43532,NaN,1018.8,73.6,1827143,43771,3146667,3266667,4303333,1,0,0,NaN,NaN,NaN,NaN,NaN,4788533.14,16213437
01/12/2012,18,1905645,1881452,1765323,34,2516129,2445161,2508065,2,1295161,1317742,1022581,9,NaN,1015.6,43467,378802,780645,454839,4451613,4819355,0,0,0,NaN,NaN,NaN,NaN,NaN,4792388.7,16213437
01/01/2013,16,1966129,2012097,1839516,35,2564516,2598387,2606452,4,1367742,1425806,1072581,43687,64.8,1019.1,28,1651613,290323,1080645,4732258,4890323,0,0,0,29842733,43304,NaN,NaN,NaN,4796244.26,16269241
01/02/2013,20,20625,2116071,2026786,36,2660714,2696429,2796429,8,1464286,1535714,1257143,43567,64.8,1013.4,43587,2557143,342857,621429,5521429,6357143,0,0,0,27433728,36737,NaN,NaN,NaN,4800099.81,16269241
01/03/2013,22,2171774,2248387,2115323,38,2804839,2879032,2862903,7,153871,1617742,1367742,43720,70.2,1014.9,43591,549309,119686,1480645,5854839,6451613,0,0,0,31224787,40604,NaN,NaN,NaN,4803955.37,16269241
01/04/2013,24,2318333,43700,43638,41,2981667,3021667,3008333,11,16.55,1738333,1511667,43720,74.1,1009.8,43523,55381,960342,43497,6.19,6693333,0,0,0,30563222,40116,NaN,NaN,NaN,4807810.93,16158410
01/05/2013,26,2566935,2700806,2502419,41,318871,3309677,3193548,9,1945161,2091935,181129,13,64.8,1010.6,76,3558065,2819355,253871,7119355,8006452,0,0,0,31859568,43857,NaN,NaN,NaN,4811666.48,16158410
01/06/2013,30,2648333,2775833,2708333,41,3213333,3368333,3418333,19,2083333,2183333,1998333,43479,55.4,1009.4,47.5,2066667,1793333,3596667,8.88,9.53,1,85,102.5,32553274,43317,NaN,NaN,NaN,4815522.04,16158410
01/07/2013,29,2577419,2765323,2612903,39,3145161,3353226,3264516,21,2009677,2177419,196129,13,NaN,1011.3,72.1,1910599,1880976,2951613,7564516,843871,1,97.5,115,32791651,66640,NaN,NaN,NaN,4819377.59,16313380
01/08/2013,30,2557258,2710484,2568548,40,3175806,3306452,326129,21,193871,2114516,1875806,43477,NaN,1011.7,51.3,700461,1375518,4680645,6235484,7070968,1,81.67,98.33,34299590,65467,NaN,NaN,NaN,4823233.15,16313380
