Fecha,T_Media_General,T_Media_Cerro_Prieto,T_Media_El_Cuchillo,T_Media_La_Boca,T.Max_General,T_Max_Cerro_Prieto,T_Max_El_Cuchillo,T_Max_La_Boca,T.Min_General,T_Min_Cerro_Prieto,T_Min_El_Cuchillo,T_Min_La_Boca,V_Media_Viento,Rachas_Max,Presion_Media,Precip_General,Precip_Cerro_Prieto,Precip_El_Cuchillo,Precip_La_Boca,Evap_Cerro_Prieto,Evap_El_Cuchillo,Ciclon_Is,Ciclon_VS,Ciclon_R,Niveles_P,Niveles_NP,Consumo_Clientes_industriales_AMM,Consumo_Clientes_industriales_MNM,Consumo_clientes_industriales_fact,Poblacion,PIB
01/11/2010,20.00,2109167.00,2080833.00,1949167.00,35.00,2758333.00,2753333.00,2778333.00,4.00,43630.00,1408333.00,43507.00,43477.00,55.4,1015.5,0,317619.00,396667.00,163333.00,4856667.00,4.52,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,"15,151,348"
01/12/2010,17.00,1880645.00,1854839.00,1753226.00,34.00,2535484.00,2524194.00,2580645.00,2.00,1225806.00,1185484.00,9258065.00,43567.00,55.4,1017.1,0.6 1,4383871.00,3709677.00,1803226.00,4506483.00,3669655.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,"15,151,348"
01/01/2011,15.00,1751613.00,1804839.00,1770161.00,31.00,2340323.00,2429032.00,2548387.00,2.00,1162903.00,1180645.00,9919355.00,43658.00,55.4,1016.8,43700.00,893548.00,1441935.00,3345161.00,416129.00,4625093.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,"15,274,555"
01/02/2011,17.00,2215179.00,2226786.00,2179821.00,37.00,2851786.00,2923214.00,3038214.00,-5.00,1578571.00,1530357.00,1321429.00,43661.00,74.1,1016.00,0,285714.00,532143.00,782143.00,5721429.00,5378571.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,"15,274,555"
01/03/2011,24.00,2375806.00,2420968.00,2358871.00,39.00,2996774.00,3033871.00,3117742.00,7.00,1754839.00,1808065.00,16.00,43598.00,63.00,1012.3,43477.00,2096774.00,0.00,351613.00,6570999.00,6248387.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,"15,274,555"
01/04/2011,29.00,26175.00,26325.00,2585833.00,43.00,3341667.00,33.3,3511667.00,15.00,1893333.00,19.35,43632.00,14.00,74.1,1007.4,43528.00,326667.00,0.12,253333.00,8113365.00,8233333.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,"15,341,829"
01/05/2011,30.00,2621397.00,2720968.00,2685572.00,43.00,326402.00,33.5,3419601.00,15.00,1978774.00,2091935.00,1951543.00,43689.00,NaN,1007.2,43509.00,445161.00,58065.00,477419.00,6758065.00,8235484.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,"15,341,829"
01/06/2011,31.00,26.85,2775833.00,2756667.00,43.00,3341667.00,3416667.00,3531667.00,20.00,2028333.00,21.35,1981667.00,43513.00,NaN,1008.2,85.1,2.63,1.42,6366667.00,8236667.00,8863333.00,1.00,100.00,120.00,NaN,NaN,NaN,NaN,NaN,NaN,"15,341,829"
01/07/2011,29.00,2712097.00,2817742.00,2745161.00,39.00,3329032.00,3464516.00,3496774.00,21.00,2095161.00,2170968.00,1993548.00,13.00,NaN,1009.9,79.1,254839.00,58065.00,203226.00,8296774.00,9054839.00,1.00,93.33,110.00,NaN,NaN,NaN,NaN,NaN,NaN,"15,637,151"
01/08/2011,31.00,2812903.00,2927419.00,2826613.00,41.00,3469355.00,3641935.00,3680645.00,21.00,2156452.00,2212903.00,1972581.00,43478.00,NaN,1008.7,43737.00,1496774.00,248718.00,276129.00,8087097.00,8854839.00,1.00,111.25,135.63,NaN,NaN,NaN,NaN,NaN,NaN,"15,637,151"
