"","Young","Old"
"A1BG",5.28714065562006,5.222819021355
"A1CF",7.86385391728291,7.93366659544195
"A2BP1",2.12859408053049,2.38128229619717
"A2LD1",8.16635590167789,8.14819338183035
"A2ML1",1.02373891219914,1.0398445826702
"A2M",13.3310591767077,13.1664041279325
"A4GALT",8.1497942390298,8.15321091721935
"A4GNT",0.587407268361143,0.366028592818915
"AAA1",1.20897830380265,1.1223133393239
"AAAS",10.807610362012,10.7583001072845
"AACSL",0.484676392412489,0.412921750560879
"AACS",11.0136071751937,10.9231603057308
"AADACL2",0.0473014115291536,0.109532628229144
"AADACL3",0.164515274876879,0.0798250395329147
"AADACL4",0.0950424630778211,0.0983056422448833
"AADAC",3.46679595281346,3.17929660121022
"AADAT",8.02299575293949,7.87815627244811
"AAGAB",11.1210191471072,11.1759948185516
"AAK1",10.1528543706932,10.1079766907292
"AAMP",12.5838855915158,12.6355124745209
"AANAT",0.739305549021514,0.641336563148873
"AARS2",9.99693671630168,10.0336581582434
"AARSD1",10.2591655203801,10.2039161028291
"AARS",12.7231824147579,12.7194308175619
"AASDHPPT",10.5297212580637,10.4625751119562
"AASDH",8.56897972669645,8.5281776193259
"AASS",7.35937085759416,7.48046866044287
"AATF",11.6696492047549,11.638673445752
"AATK",7.84020147637397,7.80174518651337
"ABAT",9.77239261234099,9.57091586957023
"ABCA10",3.81732876965484,3.90129838626642
"ABCA11P",7.37999854907288,7.49057859036913
"ABCA12",2.97247582004855,3.0504814322926
"ABCA13",4.70560326302153,4.61113423511121
"ABCA17P",1.90261692851598,2.29499239202975
"ABCA1",9.70845880660789,9.58210446054029
"ABCA2",11.5471435151533,11.3776986279624
"ABCA3",7.90490089491875,7.84664232734128
"ABCA4",2.56434794851967,2.12048703425835
"ABCA5",8.96199933745234,8.90718067655861
"ABCA6",3.83889644365229,3.74178818519948
"ABCA7",9.3608985539834,9.44558984274635
"ABCA8",3.97905013201328,3.91044104008118
"ABCA9",3.61523441801426,3.50701660124971
"ABCB10",10.2446808173035,10.310923755661
"ABCB11",1.40547490518886,1.46510470084078
"ABCB1",9.88827108734853,9.62523290886789
"ABCB4",5.66088075370685,5.24665147124829
"ABCB5",1.0173167180241,1.13351015907328
"ABCB6",9.67010867899638,9.73251443976667
"ABCB7",10.0496022508746,10.0182666736233
"ABCB8",10.6782975244673,10.6785346762677
"ABCB9",7.74570018810449,7.7658811699474
"ABCC10",10.6173652130354,10.6302464875083
"ABCC11",1.99946699463876,1.93897141797842
"ABCC12",0.119783888964671,0.0390153726999631
"ABCC13",3.44564953518244,3.74006180390247
"ABCC1",11.83377517234,11.7948142456589
"ABCC2",6.06418775063999,5.98024481756946
"ABCC3",12.2089041783137,12.3714191448662
"ABCC4",9.79191057175479,9.80219001303567
"ABCC5",10.1621460271546,10.2006544685567
"ABCC6P1",5.45782469957046,5.59662615144459
"ABCC6P2",6.38263356846869,6.32191044771979
"ABCC6",8.18381209252495,8.1002773316985
"ABCC8",1.90191081581951,1.58379549771233
"ABCC9",6.48753852849398,6.26839511303974
"ABCD1",9.62617989475272,9.68261840042198
"ABCD2",3.22542057132892,3.31209968629209
"ABCD3",11.335625975142,11.3487814157446
"ABCD4",9.98742219666297,10.0146826124508
"ABCE1",12.0503255258473,12.0039745075292
"ABCF1",11.8945656544315,11.9253073300644
"ABCF2",11.6691703339551,11.6930651836756
"ABCF3",11.0201724843184,11.0651022256305
"ABCG1",10.2765994244475,10.2608056286046
"ABCG2",5.98625438103942,5.63618649978264
"ABCG4",2.13130445568729,2.10405452984095
"ABCG5",3.15001411213898,3.40581632674577
"ABCG8",2.11893528400878,2.56159185321606
"ABHD10",10.3251172694449,10.3207291881207
"ABHD11",11.7565850454627,11.77335108837
"ABHD12B",4.49774508722004,3.85895294873534
"ABHD12",11.8448504052934,11.8414323532514
"ABHD13",10.2204169653731,10.2213370482604
"ABHD14A",8.7155424083644,8.51896507626339
"ABHD14B",12.1409150141195,12.0822563796293
"ABHD15",9.48410329941963,9.47553884868243
"ABHD1",3.11492253162427,3.08463310884901
"ABHD2",13.3372484147267,13.4035048544321
"ABHD3",10.2358609636736,10.2354793985125
"ABHD4",9.95547438891399,9.86092917361928
"ABHD5",9.63415407481024,9.62202673664769
"ABHD6",9.09011947427664,9.12694691559753
"ABHD8",7.45283880286569,7.37351679037637
