"","Pvalues"
"ACTN4",0.813124461502063
"ACTR10",0.389579516453425
"ACTR1A",0.771450291240416
"ACTR1B",0.985266834748238
"ACTR2",0.352453929798659
"ACTR3B",0.613308368835262
"ACTR3C",0.777210905908946
"ACTR3",0.886924225568853
"ACTR5",0.398342018660136
"ACTR6",0.187385588223666
"ACTR8",0.130740364398429
"ACTRT1",0.723159311345604
"ACTRT2",0.320217019167051
"ACVR1B",0.625214179419183
"ACVR1C",0.198658169791571
"ACVR1",0.882344465657298
"ACVR2A",0.301960133793964
"ACVR2B",0.18161904717532
"ACVRL1",0.402797585243601
"ACY1",0.0741128356592345
"ACY3",0.106036946795154
"ACYP1",0.735326145927181
"ACYP2",0.269297977747653
"ADAD1",0.709193030374137
"ADAD2",0.174304719931779
"ADAL",0.555399404066992
"ADAM10",0.976673957064145
"ADAM11",0.949183394785262
"ADAM12",0.775386780207766
"ADAM15",0.778580402961533
"ADAM17",0.235949407188064
"ADAM18",0.338312601139618
"ADAM19",0.439257853979522
"ADAM20",0.250584513005474
"ADAM21P1",0.802916344458626
"ADAM21",0.785618942564109
"ADAM22",0.211584984266552
"ADAM23",0.237220573360604
"ADAM28",0.989294302411612
"ADAM29",0.857629450326536
"ADAM2",0.67598483565219
"ADAM30",0.864599604195152
"ADAM32",0.503931525053162
"ADAM33",0.282782955613184
"ADAM3A",0.861168548226983
"ADAM5P",0.498916650322877
"ADAM6",0.422415025676406
"ADAM7",0.538657163832551
"ADAM8",0.456103115148079
"ADAM9",0.261285970276639
"ADAMDEC1",0.354955076901344
"ADAMTS10",0.292318283027815
"ADAMTS12",0.470214321659881
"ADAMTS13",0.141320569790009
"ADAMTS14",0.289152513322539
"ADAMTS15",0.121416556252543
"ADAMTS16",0.379614069956537
"ADAMTS17",0.499443474476704
"ADAMTS18",0.0453363336329828
"ADAMTS19",0.0680858237860758
"ADAMTS1",0.219372113816998
"ADAMTS20",0.0759007821239708
"ADAMTS2",0.777654183945869
"ADAMTS3",0.577693515978523
"ADAMTS4",0.176267663792074
"ADAMTS5",0.537976603430709
"ADAMTS6",0.581787016445279
"ADAMTS7",0.0616027055101024
"ADAMTS8",0.75014879388238
"ADAMTS9",0.555109307541892
"ADAMTSL1",0.15601432479429
"ADAMTSL2",0.0709900875049606
"ADAMTSL3",0.18014271528065
"ADAMTSL4",0.24071070562752
"ADAMTSL5",0.213252227253845
"ADAP1",0.213808070262502
"ADAP2",0.892338654505214
"ADARB1",0.730819155279686
"ADARB2",0.51088005163495
"ADAR",0.0475213729485295
"ADAT1",0.205483638670338
"ADAT2",0.282450683451625
"ADAT3",0.86627905196149
"ADA",0.298324845402699
"ADCK1",0.833582312459671
"ADCK2",0.33464975820026
"ADCK4",0.343088723445674
"ADCK5",0.682299141850467
"ADCY10",0.914033171225397
"ADCY1",0.0118069957546969
"ADCY2",0.154643737935358
"ADCY3",0.152776036251435
"ADCY4",0.821449297958578
"ADCY5",0.485942133712964
"ADCY6",0.842040659132167
"ADCY7",0.682762998474103
"ADCY8",0.514413653421738
"ADCY9",0.333976171196812
"ADCYAP1R1",0.361895730173403
"ADCYAP1",0.824125462612504
"ADC",0.758585274816398
"ADD1",0.256465416359875
"ADD2",0.695963229475948
"ADD3",0.525533885126334
"ADH1A",0.990975427062909
"ADH1B",0.50131080427245
"ADH1C",0.447564882016374
"ADH4",0.557136186358368
"ADH5",0.0414274055613108
"ADH6",0.196431929444148
"ADH7",0.388940520931127
"ADHFE1",0.67019683851263
"ADI1",0.280410030958644
"ADIG",0.322947477651743
"ADIPOQ",0.737730486258112
"ADIPOR1",0.0389955465002157
"ADIPOR2",0.342521912769761
"ADK",0.70936661356445
"ADM2",0.134012500818988
"ADM",0.221548575378989
"ADNP2",0.794327859935984
"ADNP",0.4201392155337
"ADORA1",0.110147181023633
"ADORA2A",0.689964692899308
"ADORA2B",0.772730304843449
"ADORA3",0.491239265247633
"ADO",0.131161226312818
"ADPGK",0.23538700912839
"ADPRHL1",0.128252133149132
"ADPRHL2",0.57527983690638
"ADPRH",0.297229562146692
"ADRA1A",0.137293946365643
"ADRA1B",0.0554449046695707
"ADRA1D",0.462408020832431
"ADRA2A",0.284103598815846
"ADRA2B",0.12465117159258
"ADRA2C",0.15346450209287
"ADRB1",0.283203564566469
"ADRB2",0.267746666054747
"ADRB3",0.465848685983657
"ADRBK1",0.752935010883956
"ADRBK2",0.0723716134698144
"ADRM1",0.391869181209025
"ADSL",0.0145933486039301
"ADSSL1",0.0327606336438335
"ADSS",0.58088275687005
"AEBP1",0.638642265517491
"AEBP2",0.27421392390313
"AEN",0.550875621624353
"AES",0.478045470876296
"AFAP1L1",0.225629804050164
"AFAP1L2",0.584507358996615
"AFAP1",0.23306399791911
"AFARP1",0.198815457497797
"AFF1",0.364128885883096
"AFF2",0.313193181808713
"AFF3",0.801832837869754
"AFF4",0.627802378039361
"AFG3L1",0.214126120525578
"AFG3L2",0.639452779393383
"AFMID",0.825129856337354
"AFM",0.836144906593022
"AFP",0.063266405587845
"AFTPH",0.279214509269253
"AG2",0.195112018438801
"AGAP11",0.0787077419343632
"AGAP1",0.157679840485509
"AGAP2",0.848004941539828
"AGAP3",0.317870096319517
"AGAP4",0.0542879482960784
"AGAP5",0.449096105822858
"AGAP6",0.126048618381563
"AGAP7",0.002640051823229
"AGAP8",0.569523779584951
"AGA",0.0948969310312015
"AGBL1",0.79100533572484
"AGBL2",0.338734932940731
"AGBL3",0.921629058185134
"AGBL4",0.152708762436661
"AGBL5",0.809575194745853
"AGER",0.221256910923994
"AGFG1",0.374201368358471
"AGFG2",0.421836016111047
"AGGF1",0.0465910545830801
"AGK",0.938270986285704
"AGL",0.298441999695194
"AGMAT",0.481850059211408
"AGPAT1",0.895625276154402
"AGPAT2",0.0740565235400168
"AGPAT3",0.592287335129714
"AGPAT4",0.727136515726423
"AGPAT5",0.812978289850943
"AGPAT6",0.407375426394355
"AGPAT9",0.716321418748797
"AGPHD1",0.720177576185162
"AGPS",0.989908424822896
"AGR2",0.336055478422951
"AGR3",0.0774394314507317
"AGRN",0.440473657065804
"AGRP",0.078071684043777
"AGTPBP1",0.701085131724793
"AGTR1",0.153114414292453
"AGTR2",0.553569119051044
"AGTRAP",0.533888750620931
"AGT",0.31117048171651
"AGXT2L1",0.0316911771523494
"AGXT2L2",0.59804570308327
"AGXT2",0.324714078037548
"AGXT",0.361124397834178
"AHCTF1",0.092112244386994
"AHCYL1",0.621522949536432
"AHCYL2",0.915651988912195
"AHCY",0.64773243198692
"AHDC1",0.174099492535184
"AHI1",0.806700461554635
"AHNAK2",0.560836913730688
"AHNAK",0.925127750558779
"AHRR",0.657411277444898
"AHR",0.477479487424359
"AHSA1",0.453346675213462
"AHSA2",0.436939164943957
"AHSG",0.0023323925410704
"AHSP",0.19296219023369
"AICDA",0.0780205451224211
"AIDA",0.525011506657264
"AIF1L",0.00717983882624944
"AIF1",0.855059555439294
"AIFM1",0.992386775769843
"AIFM2",0.221261054434843
"AIFM3",0.120506670073718
"AIG1",0.108907828114487
"AIM1L",0.790653487351311
"AIM1",0.246680696271097
"AIM2",0.217362518123443
"AIMP1",0.742814163286051
"AIMP2",0.905442874047223
"AIPL1",0.950500607128027
"AIP",0.319843051743384
"AIRE",0.522294955588823
"AJAP1",0.122921003122775
"AK1",0.165345113140939
"AK2",0.543852320004779
"AK3L1",0.59827325779443
"AK3",0.265978407864952
"AK5",0.330852765376983
"AK7",0.108292232981411
"AKAP10",0.747049320160156
"AKAP11",0.0917807657705005
"AKAP12",0.440982323498875
"AKAP13",0.949282640626034
"AKAP14",0.694636349840205
"AKAP1",0.382009525834468
"AKAP2",0.463561661360586
"AKAP3",0.672197780912957
"AKAP4",0.479838994958575
"AKAP5",0.270030102814949
"AKAP6",0.174520523683564
"AKAP7",0.162992761823655
"AKAP8L",0.711763357288671
"AKAP8",0.346936099983554
"AKAP9",0.764671704546262
"AKD1",0.578815958123163
"AKIRIN1",0.366848036892783
"AKIRIN2",0.730538079252078
"AKNAD1",0.596516085688128
"AKNA",0.898134430578978
"AKR1A1",0.145345526074377
"AKR1B10",0.148311700731601
"AKR1B15",0.440415385597101
"AKR1B1",0.0869001166805846
"AKR1C1",0.405042768759586
"AKR1C2",0.235148326604227
"AKR1C3",0.614900132459569
"AKR1C4",0.0455117803182475
"AKR1CL1",0.615895511404235
"AKR1D1",0.304202044559555
"AKR1E2",0.152224317134708
"AKR7A2",0.00502643476309364
"AKR7A3",0.909656463274384
"AKR7L",0.880591612879944
"AKT1S1",0.963222599799002
"AKT1",0.929968312025284
"AKT2",0.443638971973766
"AKT3",0.200667749684987
"AKTIP",0.609088476557786
"ALAD",0.482534076969249
"ALAS1",0.698453813794702
"ALAS2",0.0947293257731847
"ALB",0.158222171542558
"ALCAM",0.479293807992634
"ALDH16A1",0.922847372050917
"ALDH18A1",0.271926523100161
"ALDH1A1",0.25056954473942
"ALDH1A2",0.0318142162483721
"ALDH1A3",0.50309857380312
"ALDH1B1",0.236754909717347
"ALDH1L1",0.461242439101789
"ALDH1L2",0.269713144591168
"ALDH2",0.67431148443569
"ALDH3A1",0.952635516859766
"ALDH3A2",0.815047952962838
"ALDH3B1",0.654330807436235
"ALDH3B2",0.806908524692063
"ALDH4A1",0.15439003375244
"ALDH5A1",0.0802050979174835
"ALDH6A1",0.349210523155688
"ALDH7A1",0.509458885105427
"ALDH8A1",0.499016787496402
"ALDH9A1",0.500615252328214
"ALDOA",0.978417473637774
"ALDOB",0.938940159460782
"ALDOC",0.924518583476754
"ALG10B",0.5600158349841
"ALG10",0.366310713933443
"ALG11",0.0161455410886595
"ALG12",0.00732226568969999
"ALG13",0.326823551089161
"ALG14",0.283547001413127
"ALG1L2",0.419081590002583
"ALG1L",0.0405847194794261
"ALG1",0.0697142150574861
"ALG2",0.682813930972171
"ALG3",0.328802174120385
"ALG5",0.914478924444927
"ALG6",0.842839705890179
"ALG8",0.0357832845382951
"ALG9",0.34976251813495
"ALKBH1",0.976021027799056
"ALKBH2",0.138443389920091
"ALKBH3",0.197453615976315
"ALKBH4",0.318499924628057
"ALKBH5",0.560754161232712
"ALKBH6",0.570142909607384
"ALKBH7",0.714551909438987
"ALKBH8",0.546433674994388
"ALK",0.915906176413402
"ALLC",0.325294340724706
"ALMS1P",0.218059281056705
"ALMS1",0.985622421243285
"ALOX12B",0.0387711252806166
"ALOX12P2",0.567366936949647
"ALOX12",0.991983130111474
"ALOX15B",0.209790848789593
"ALOX15",0.343083681699147
"ALOX5AP",0.900592541744781
"ALOX5",0.299570642885096
"ALOXE3",0.69290950169027
"ALPI",0.388133308162159
"ALPK1",0.74625109441794
"ALPK2",0.797932663304511
"ALPK3",0.755272208072424
"ALPL",0.210248200665897
"ALPPL2",0.926915166961398
"ALPP",0.865646577154559
"ALS2CL",0.185275802042701
"ALS2CR11",0.168675726091101
"ALS2CR12",0.619471281608306
"ALS2CR4",0.0860517437953546
"ALS2CR8",0.479808184884271
"ALS2",0.0551223042220047
"ALX1",0.334226401906365
"ALX3",0.508985775953606
"ALX4",0.243655474987787
"AMAC1L2",0.333148655325742
"AMAC1L3",0.276354877745859
"AMAC1",0.252724537742106
"AMACR",0.0698654017533266
"AMBN",0.0481104143964994
"AMBP",0.148982029662153
"AMBRA1",0.997143960920398
"AMD1",0.549109455946432
"AMDHD1",0.484082732855845
"AMDHD2",0.270146209441394
"AMELX",0.341049419258567
"AMELY",0.545111062623213
"AMFR",0.947593935442931
"AMHR2",0.590427215315362
"AMH",0.0156066735361171
"AMICA1",0.338972147774833
"AMIGO1",0.0891382128277341
"AMIGO2",0.726722339110372
"AMIGO3",0.320892627790626
"AMMECR1L",0.642379627480774
"AMMECR1",0.335750667202214
"AMN1",0.619959111803592
"AMN",0.067758340570511
"AMOTL1",0.433840776255908
"AMOTL2",0.505966733400545
"AMOT",0.335977966769496
"AMPD1",0.446928072139187
"AMPD2",0.497736387225279
"AMPD3",0.0747246299983772
"AMPH",0.978692637697526
"AMTN",0.153711433191667
"AMT",0.683466671538981
"AMY1A",0.828612913181146
"AMY2A",0.122681396781078
"AMY2B",0.6952811854535
"AMZ1",0.692539489156362
"AMZ2P1",0.510498797487935
"AMZ2",0.995407834051357
"ANAPC10",0.91449238399019
"ANAPC11",0.541007331306343
"ANAPC13",0.10530233885452
"ANAPC16",0.653036160368348
"ANAPC1",0.407223638292339
"ANAPC2",0.671513702520363
"ANAPC4",0.72895852454525
"ANAPC5",0.688303239639303
"ANAPC7",0.77984308220343
"ANGEL1",0.758667382660113
"ANGEL2",0.718580096129223
"ANGPT1",0.574791398612563
"ANGPT2",0.18450842574612
"ANGPT4",0.320126882714041
"ANGPTL1",0.590696640324381
"ANGPTL2",0.785749029268044
"ANGPTL3",0.49950299881845
"ANGPTL4",0.540933249333982
"ANGPTL5",0.74685767088739
"ANGPTL6",0.889472638517713
"ANGPTL7",0.900819217930934
"ANG",0.0809632011984334
"ANK1",0.97817556677645
"ANK2",0.508374900704999
"ANK3",0.189176328564016
"ANKAR",0.117500637298996
"ANKDD1A",0.862469568387631
"ANKFN1",0.240513182123208
"ANKFY1",0.342816208431827
"ANKHD1.EIF4EBP3",0.501893383240567
"ANKHD1",0.276462108646743
